Country,1900,1910,1920,1930,1940
Brazil,6,5,4,5,6
Sweden,3,8,6,8,8
France,2,6,3,6,3
Botswana,10,7,1,4,1
Honduras,6,8,7,7,2
Brazil,10,9,3,6,10
China,2,2,6,1,6
South Africa,3,7,1,3,8
France,7,6,9,8,8
Russia,3,6,1,7,10
China,4,4,8,1,9
Democratic Republic of the Congo,9,3,1,10,5
United States,3,7,8,1,7
Nigeria,6,10,5,4,7
United States,4,7,1,8,7
Russia,5,10,6,3,3
China,2,5,1,5,3
New Zealand,7,5,6,8,3
Japan,1,2,9,3,7
Russia,1,8,10,1,6
Philippines,7,9,3,10,3
China,2,4,10,4,7
Mexico,3,9,9,5,9
Ukraine,6,6,9,4,4
China,8,3,1,5,2
Pakistan,9,4,6,7,7
Greece,2,7,5,2,9
United States,10,2,2,4,7
Japan,5,9,9,5,1
Brazil,8,1,8,3,1
Indonesia,3,6,8,1,6
Iran,3,10,7,5,1
Poland,4,2,9,8,2
China,2,1,1,5,6
Croatia,7,8,8,5,5
China,1,9,8,9,2
Sweden,6,8,7,8,4
Canada,9,3,3,8,3
China,5,2,5,6,5
Russia,9,3,1,7,6
Albania,2,7,6,8,5
United States,9,1,2,3,4
Thailand,5,8,4,3,6
Croatia,1,7,7,8,10
Turkmenistan,7,1,6,4,1
China,6,3,1,9,4
China,9,3,2,3,6
China,7,2,5,4,3
